Match: match at time 5085:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5095:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5105:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5115:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5125:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5135:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5145:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5155:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5165:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5175:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5185:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5195:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5205:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5215:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5225:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5235:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5245:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5255:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5265:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5275:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5285:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5295:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5305:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5315:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5325:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5335:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5345:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 5525:DUT_HRDATA: ddf26ebb, GOLDEN_HRDATA: ddf26ebb
Match: match at time 5585:DUT_HRDATA: ddf26ebb, GOLDEN_HRDATA: ddf26ebb
